Year,Robert Tait McKenzie,Heikki Ilmari Savolainen,"Joseph ""Josy"" Stoffel",Ioannis Theofilakis,Takashi Ono,Alexandros Theofilakis,Jean Lucien Nicolas Jacoby,Andreas Wecker,Alfrd (Arnold-) Hajs (Guttmann-),Alfred James Munnings,United States,France,Great Britain,Italy,Germany,Canada,Japan,Sweden,Australia,Hungary,London,Athina,Sydney,Atlanta,Rio de Janeiro,Beijing,Barcelona,Los Angeles,Seoul,Munich,Athletics,Gymnastics,Swimming,Shooting,Cycling,Fencing,Rowing,Cross Country Skiing,Alpine Skiing,Wrestling,Football Men's Football,Ice Hockey Men's Ice Hockey,Hockey Men's Hockey,Water Polo Men's Water Polo,Basketball Men's Basketball,"Cycling Men's Road Race, Individual",Gymnastics Men's Individual All-Around,Rowing Men's Coxed Eights,Gymnastics Men's Team All-Around,Handball Men's Handball
1896,0,0,0,3.333333333,0,2,0,0,1.428571429,0,0,0.737463127,0.455764075,0,2.268292683,0,0,0.16286645,0.104986877,0.880195599,0,0.565349996,0,0,0,0,0,0,0,0,0.845295056,0.811375993,0.205831904,1.551312649,1.229385307,0.499168053,0,0,0,0.218818381,0,0,0,0,0,0.765027322,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,0,1.914191419,20,1.286863271,1.186440678,1,0.210526316,0,0.781758958,0.131233596,1.662591687,0,0,0,0,0,0,0,0,0,0,1.866028708,1.12923463,1.497998856,5.274463007,2.75862069,10.54908486,4.024205749,0,0,0,2.380952381,0,0,5.54973822,0,0,14.59459459,6.518518519,0,0
1904,0,0,0,0,0,0,0,0,0,0,17.51375138,0,0,0,1.243902439,0.45112782,0,0,0.157480315,0.4400978,0,0,0,0,0,0,0,0,0,0,1.602870813,3.831033041,0.73184677,0,1.829085457,0.931780366,1.39183056,0,0,2.100656455,2.448979592,0,0,2.19895288,0,0,12.64864865,2.666666667,6.141732283,0
1906,0,0,0,5,0,20,0,0,0,0,1.188118812,4.365781711,2.627345845,1.559322034,3.829268293,0.120300752,0,3.094462541,0.262467192,4.841075795,0,2.578293536,0,0,0,0,0,0,0,0,3.74800638,1.30489335,0.89193825,7.637231504,4.137931034,5.357737105,6.051437216,0,0,1.70678337,3.06122449,0,0,0,0,2.62295082,2.702702703,0,6.062992126,0
1908,0,0,0,6.666666667,0,10,0,0,0,0,4.224422442,8.613569322,20,3.254237288,3.463414634,4,0,8.566775244,0,4.792176039,4.800309598,0,0,0,0,0,0,0,0,0,6.20414673,2.919280636,1.715265866,10.59665871,8.065967016,7.986688852,2.632375189,0,0,5.820568928,4.897959184,0,5.171102662,2.931937173,0,0,10.27027027,8,20,0
1912,0.454545455,0,0,20,0,12,0,0,0,0,7.414741474,6.16519174,9.81233244,3.220338983,6.951219512,1.533834586,0.150659134,20,0,9.486552567,0,0,0,0,0,0,0,0,0,0,7.671451356,2.593057298,2.298456261,18.94988067,7.256371814,12.61231281,5.960665658,0,0,7.439824945,11.08843537,0,0,4.712041885,0,13.44262295,4.756756757,14.66666667,7.165354331,0
1920,0,0,0,18.33333333,0,12,0,0,0,0,9.812981298,12.86135693,8.445040214,9.830508475,0,2.556390977,0.979284369,12.54071661,0.761154856,0,0,0,0,0,0,0,0,0,0,0,6.770334928,2.199916353,2.389937107,20,6.356821589,11.64725458,4.357034796,0,0,7.04595186,12.92517007,3.846153846,3.878326996,10.57591623,0,5.027322404,2.702702703,10.66666667,9.448818898,0
1924,0,0,0,6.666666667,0,8,1.176470588,0,0.714285714,0,10.1430143,19.91150442,11.8766756,11.62711864,0,3.007518797,1.242937853,9.446254072,1.601049869,6.943765281,0,0,0,0,0,0,0,0,0,0,7.998405104,5.336679214,3.007432819,12.12410501,7.466266867,14.10981697,5.930408472,1.822660099,0,10.67833698,18.97959184,5.256410256,0,10.57591623,0,7.759562842,7.783783784,13.33333333,5.669291339,0
1928,3.181818182,17.5,0,0,0,0,7.058823529,0,20,4,9.240924092,13.18584071,9.839142091,9.389830508,10.6097561,4.330827068,2.485875706,5.179153094,0.761154856,11.24694377,0,0,0,0,0,0,0,0,0,0,7.910685805,5.554161439,3.178959405,0,6.806596702,14.30948419,7.473524962,2.216748768,0,7.396061269,14.89795918,7.948717949,10.41825095,11.72774869,0,8.196721311,9.513513514,14.66666667,6.929133858,0
1932,20,20,0,0,0,0,9.411764706,0,0.714285714,0.8,16.52365237,4.837758112,4.450402145,5.728813559,5.195121951,6.857142857,8.888888889,4.560260586,0.524934383,5.770171149,0,0,0,0,0,0,0,6.280939285,0,0,4.162679426,1.229611041,2.229845626,1.050119332,3.268365817,6.389351082,5.02269289,1.822660099,0,3.938730853,0,3.076923077,3.041825095,4.293193717,0,3.825136612,2.594594595,10.66666667,1.88976378,0
1936,2.272727273,20,0,0,0,0,20,0,0,0,11.08910891,9.144542773,7.131367292,12.54237288,15.07317073,6.105263158,13.97363465,8.338762215,1.102362205,17.55501222,0,0,0,0,0,0,0,0,0,0,8.03030303,7.921371811,4.162378502,3.866348449,9.025487256,18.50249584,10.52950076,4.310344828,2.746666667,9.190371991,13.67346939,11.08974359,12.69961977,14.86910995,13.53741497,10.81967213,12,18.66666667,8.74015748,8.641975309
1948,0.454545455,20,20,0,0,0,0,0,0,20,10.2530253,13.80530973,16.99731903,12.33898305,0,6.947368421,0,9.153094463,2.650918635,12.76283619,9.914860681,0,0,0,0,0,0,0,0,0,8.381180223,8.86658302,4.551172098,5.155131265,9.595202399,16.90515807,9.621785174,3.842364532,9.6,10.02188184,14.82993197,8.91025641,14.22053232,16.33507853,19.52380952,11.03825137,13.2972973,16,9.68503937,0
1952,0,20,20,0,20,0,0,0,0,0,10.75907591,12.97935103,11.07238606,13.62711864,10.26829268,6.135338346,5.951035782,13.81107492,4.041994751,17.70171149,0,0,0,0,0,0,0,0,0,0,10.71770335,20,5.523156089,6.897374702,11.66416792,16.93843594,12.28441755,4.630541872,10.08,11.46608315,20,9.423076923,11.9391635,20,20,12.13114754,20,18.66666667,13.38582677,0
1956,0,0,17.5,0,20,0,0,0,0,0,10.56105611,7.876106195,8.55227882,9.355932203,8.073170732,5.744360902,9.34086629,8.501628664,10.99737533,9.731051345,0,0,0,0,0,0,0,0,0,0,8.07814992,7.636971978,4.070897656,5.22673031,8.755622189,9.25124792,7.806354009,6.773399015,10.74666667,8.533916849,9.727891156,10.83333333,13.15589354,10.05235602,11.49659864,9.617486339,6.810810811,13.33333333,3.307086614,0
1960,0,0,20,0,20,0,0,0,0,0,10.78107811,12.00589971,11.04557641,15.22033898,12.6097561,6.045112782,13.03201507,10.42345277,8.083989501,15.25672372,0,0,0,0,0,0,0,0,0,0,10.46251994,14.60476788,7.204116638,9.284009547,12.68365817,20,13.0408472,5.320197044,8.533333333,14.74835886,15.98639456,9.743589744,17.94676806,15.70680628,13.06122449,15.51912568,14.05405405,18.81481481,9.448818898,0
1964,0,0,17.5,0,20,0,0,0,0,0,12.32123212,7.699115044,9.115281501,10.91525424,14.36585366,7.84962406,20,8.599348534,10.39370079,17.65281174,0,0,0,0,0,0,0,0,0,0,10.64593301,12.41321623,8.41623785,7.446300716,13.52323838,16.00665557,11.43721634,8.177339901,10.96,13.2166302,14.55782313,17.30769231,17.18631179,14.34554974,12.85714286,14.42622951,14.05405405,18.66666667,8.503937008,0
1968,0,0,0,0,0,0,0,0,0,0,13.61936194,12.27138643,10.02680965,11.18644068,0,11.84962406,14.46327684,9.576547231,6.062992126,15.84352078,0,0,0,0,0,0,0,0,0,0,10.72567783,12.51359264,14.07661521,9.785202864,14.48275862,16.30615641,10.83207262,8.472906404,11.25333333,14.57330416,18.57142857,16.02564103,19.23954373,16.96335079,12.99319728,15.73770492,12.64864865,16.74074074,7.480314961,0
1972,0,0,0,0,0,0,0,0,0,0,14.78547855,12.38938053,12.8150134,13.45762712,0,12.66165414,15.48022599,9.348534202,7.296587927,17.99511002,0,0,0,0,0,0,0,0,0,20,13.44497608,13.24968632,14.44253859,11.26491647,15.77211394,16.60565724,13.37367625,8.251231527,8.666666667,17.89934354,18.29931973,13.33333333,20,18.42931937,12.92517007,17.81420765,12.21621622,20,7.559055118,20
1976,0,0,0,0,0,0,0,0,0,0,14.34543454,10.50147493,10.58981233,12.98305085,0,18.64661654,15.48022599,7.850162866,7.690288714,14.22982885,0,0,0,0,0,0,0,0,0,0,10.34290271,10.07109996,12.30417381,8.806682578,11.75412294,16.13976705,18.09379728,9.729064039,10.4,15.27352298,13.7414966,13.91025641,13.07984791,13.71727749,9.591836735,14.64480874,9.72972973,14.81481481,5.669291339,13.25102881
1980,0,0,0,0,0,0,0,0,0,0,2.288228823,7.168141593,10.13404826,9.084745763,0,2.466165414,3.013182674,10.09771987,5.485564304,19.26650367,0,0,0,0,0,0,0,0,0,0,10.11164274,7.243831033,8.702115495,6.372315036,9.205397301,10.68219634,14.76550681,7.610837438,8.72,11.81619256,17.41496599,15.32051282,7.300380228,13.82198953,9.727891156,12.56830601,7.027027027,12,4.251968504,13.66255144
1984,0,0,0,0,0,0,0,0,0,0,17.46974697,12.09439528,15.09383378,15.86440678,0,19.63909774,16.42184557,11.46579805,9.37007874,0.782396088,0,0,0,0,0,0,0,20,0,0,13.3492823,7.779171895,14.08805031,12.86396181,14.24287856,14.10981697,14.06959153,11.74876847,10.69333333,12.51641138,16.73469388,15.32051282,14.4486692,16.02094241,9.659863946,14.75409836,7.675675676,9.333333333,4.251968504,14.56790123
1988,0,0,0,0,0,0,0,20,0,0,18.89988999,15.42772861,14.50402145,15.66101695,0,20,19.47269303,12.14983713,9.737532808,15.74572127,0,0,0,0,0,0,0,0,20,0,16.44338118,10.17984107,18.45626072,13.0071599,15.53223388,16.83860233,18.88048411,13.00492611,17.81333333,20,18.36734694,16.98717949,14.4486692,16.33507853,9.727891156,14.86338798,9.621621622,13.33333333,5.669291339,13.99176955
1992,0,0,0,0,0,0,0,20,0,0,20,18.90855457,15.33512064,20,20,18.19548872,19.05838041,12.37785016,11.31233596,20,0,0,0,0,0,0,20,0,0,0,16.37958533,10.49769971,18.46769583,13.46062053,16.97151424,15.24126456,20,17.66009852,20,16.23632385,18.50340136,17.11538462,14.37262357,15.91623037,9.659863946,16.83060109,10.05405405,18.66666667,5.669291339,14.73251029
1994,0,0,0,0,0,0,0,0,0,0,4.136413641,4.483775811,0.884718499,5.93220339,3.951219512,3.939849624,4.557438795,4.918566775,1.233595801,1.369193154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73891626,14.50666667,0,0,17.17948718,0,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0,20,0,0,17.60176018,13.09734513,10,15.55932203,15.07317073,11.90977444,16.27118644,7.328990228,14.22572178,15.40342298,0,0,0,20,0,0,0,0,0,0,19.02711324,11.68548724,18.69639794,14.60620525,17.51124438,12.91181364,18.78971256,0,0,17.54923414,17.95918367,0,14.60076046,16.02094241,9.591836735,20,12,13.33333333,6.535433071,14.97942387
1998,0,0,0,0,0,0,0,0,0,0,5.126512651,4.247787611,0.938337802,5.355932203,4.804878049,5.654135338,8.775894539,4.755700326,0.892388451,1.173594132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.05418719,12.72,0,0,19.61538462,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,20,0,0,15.86358636,13.71681416,10.64343164,15.3220339,13.43902439,12.33082707,13.06967985,6.319218241,20,11.63814181,0,0,20,0,0,0,0,0,0,0,19.68102073,9.5692179,19.90851915,14.29594272,18.62068966,11.61397671,16.97428139,0,0,13.74179431,18.16326531,0,14.52471483,16.02094241,9.795918367,16.83060109,10.48648649,12.14814815,5.590551181,14.56790123
2002,0,0,0,0,0,0,0,0,0,0,5.676567657,4.808259587,1.286863271,6.271186441,5.829268293,5.92481203,7.495291902,5.179153094,1.076115486,2.249388753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.06403941,14.90666667,0,0,20,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0,0,0,14.93949395,13.33333333,9.27613941,15.89830508,14.04878049,11.51879699,15.14124294,5.048859935,15.35433071,12.4205379,0,20,0,0,0,0,0,0,0,0,17.34449761,9.627770807,18.50200114,13.31742243,18.68065967,10.74875208,16.91376702,0,0,14.96717724,17.61904762,0,14.60076046,16.12565445,9.795918367,15.73770492,10.59459459,12.14814815,5.669291339,14.73251029
2006,0,0,0,0,0,0,0,0,0,0,5.896589659,4.542772861,1.286863271,8.983050847,5.829268293,8.330827068,7.156308851,5.472312704,1.181102362,1.564792176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16.50666667,0,0,18.07692308,0,0,0,0,0,0,0,0
2008,0,0,0,0,2.5,0,0,0,0,0,15.77557756,12.97935103,10.91152815,15.38983051,13.34146341,13.41353383,16.79849341,5.276872964,14.67191601,10.56234719,0,0,0,0,0,20,0,0,0,0,17.89473684,8.331242158,20,13.77088305,19.55022489,11.04825291,17.03479576,0,0,15.01094092,18.63945578,0,14.90494297,16.02094241,9.795918367,15.6284153,10.59459459,11.11111111,5.669291339,14.1563786
2010,0,0,0,0,0,0,0,0,0,0,6.072607261,5.634218289,1.662198391,6.610169492,5.536585366,8.390977444,5.762711864,5.602605863,1.154855643,1.564792176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.85714286,18.26666667,0,0,16.66666667,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,14.12541254,12.41887906,17.85522788,12.6440678,12.04878049,10.64661654,14.87758945,5.472312704,13.2808399,9.828850856,20,0,0,0,0,0,0,0,0,0,18.16586922,7.093266416,17.58719268,13.36515513,18.86056972,11.48086522,16.64145234,0,0,14.83588621,18.16326531,0,14.90494297,16.23036649,9.795918367,15.73770492,4.432432432,10.66666667,4.724409449,14.48559671
2014,0,0,0,0,0,0,0,0,0,0,6.732673267,5.545722714,1.715817694,7.254237288,5.731707317,9.714285714,6.440677966,4.820846906,2.204724409,1.809290954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.84236453,18.32,0,0,18.26923077,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,0,0,0,14.78547855,14.83775811,12.43967828,13.3559322,12.87804878,11.93984962,16.42184557,6.058631922,13.38582677,9.975550122,0,0,0,0,20,0,0,0,0,0,20,7.202007528,17.93024585,13.24582339,20,11.51414309,16.64145234,0,0,15.14223195,18.36734694,0,14.90494297,16.12565445,9.591836735,15.73770492,5.405405405,9.333333333,4.724409449,14.56790123